Participant ID,List,TagQualtrics,Valeur,Item,Condition,Presence Connecteur,Type Connecteur,Type Question
1,1,Q1_Sexe,1,,,,,Q1.1_Sexe
1,1,Q1_Sexe_3_TEXT,,,,,,Q1.2_Sexe_3_TEXT
1,1,Q2_Age,22,,,,,Q2_Age
1,1,Q3_Langue,2,,,,,Q3.1_Langue
1,1,Q3_Langue_3_TEXT,,,,,,Q3.2_Langue
1,1,Q5_Lieu,Royaume uni,,,,,Q5_Lieu
1,1,Q6_Prolific,5aac21406be3fa00013a2a51,,,,,Q6_Prolific
1,1,L1_1_AFC_1,5,1,Fallacieux,oui,Comme,Proportion
1,1,L1_1_AFC_2,5,1,Fallacieux,oui,Comme,Decoulement
1,1,L1_1_AFC_3,5,1,Fallacieux,oui,Comme,AccordA
1,1,L1_1_AFC_4,4,1,Fallacieux,oui,Comme,AccordB
1,1,L1_2_AFS_1,2,2,Fallacieux,non,Comme,Proportion
1,1,L1_2_AFS_2,4,2,Fallacieux,non,Comme,Decoulement
1,1,L1_2_AFS_3,2,2,Fallacieux,non,Comme,AccordA
1,1,L1_2_AFS_4,6,2,Fallacieux,non,Comme,AccordB
1,1,L1_3_ANC_1,5,3,NonFallacieux,oui,Comme,Proportion
1,1,L1_3_ANC_2,4,3,NonFallacieux,oui,Comme,Decoulement
1,1,L1_3_ANC_3,4,3,NonFallacieux,oui,Comme,AccordA
1,1,L1_3_ANC_4,3,3,NonFallacieux,oui,Comme,AccordB
1,1,L1_4_ANS_1,6,4,NonFallacieux,non,Comme,Proportion
1,1,L1_4_ANS_2,6,4,NonFallacieux,non,Comme,Decoulement
1,1,L1_4_ANS_3,6,4,NonFallacieux,non,Comme,AccordA
1,1,L1_4_ANS_4,6,4,NonFallacieux,non,Comme,AccordB
1,1,L1_5_AFC_1,4,5,Fallacieux,oui,Comme,Proportion
1,1,L1_5_AFC_2,5,5,Fallacieux,oui,Comme,Decoulement
1,1,L1_5_AFC_3,4,5,Fallacieux,oui,Comme,AccordA
1,1,L1_5_AFC_4,5,5,Fallacieux,oui,Comme,AccordB
1,1,L1_6_AFS_1,3,6,Fallacieux,non,Comme,Proportion
1,1,L1_6_AFS_2,4,6,Fallacieux,non,Comme,Decoulement
1,1,L1_6_AFS_3,6,6,Fallacieux,non,Comme,AccordA
1,1,L1_6_AFS_4,6,6,Fallacieux,non,Comme,AccordB
1,1,L1_7_ANC_1,5,7,NonFallacieux,oui,Comme,Proportion
1,1,L1_7_ANC_2,5,7,NonFallacieux,oui,Comme,Decoulement
1,1,L1_7_ANC_3,5,7,NonFallacieux,oui,Comme,AccordA
1,1,L1_7_ANC_4,3,7,NonFallacieux,oui,Comme,AccordB
1,1,L1_8_ANS_1,6,8,NonFallacieux,non,Comme,Proportion
1,1,L1_8_ANS_2,6,8,NonFallacieux,non,Comme,Decoulement
1,1,L1_8_ANS_3,6,8,NonFallacieux,non,Comme,AccordA
1,1,L1_8_ANS_4,6,8,NonFallacieux,non,Comme,AccordB
1,1,L1_9_AFC_1,3,9,Fallacieux,oui,Comme,Proportion
1,1,L1_9_AFC_2,5,9,Fallacieux,oui,Comme,Decoulement
1,1,L1_9_AFC_3,4,9,Fallacieux,oui,Comme,AccordA
1,1,L1_9_AFC_4,5,9,Fallacieux,oui,Comme,AccordB
1,1,L1_10_AFS_1,5,10,Fallacieux,non,Comme,Proportion
1,1,L1_10_AFS_2,4,10,Fallacieux,non,Comme,Decoulement
1,1,L1_10_AFS_3,4,10,Fallacieux,non,Comme,AccordA
1,1,L1_10_AFS_4,6,10,Fallacieux,non,Comme,AccordB
1,1,L1_11_ANC_1,6,11,NonFallacieux,oui,Comme,Proportion
1,1,L1_11_ANC_2,6,11,NonFallacieux,oui,Comme,Decoulement
1,1,L1_11_ANC_3,1,11,NonFallacieux,oui,Comme,AccordA
1,1,L1_11_ANC_4,3,11,NonFallacieux,oui,Comme,AccordB
1,1,L1_12_ANS_1,3,12,NonFallacieux,non,Comme,Proportion
1,1,L1_12_ANS_2,4,12,NonFallacieux,non,Comme,Decoulement
1,1,L1_12_ANS_3,4,12,NonFallacieux,non,Comme,AccordA
1,1,L1_12_ANS_4,6,12,NonFallacieux,non,Comme,AccordB
1,1,L1_13_AFC_1,1,13,Fallacieux,oui,Comme,Proportion
1,1,L1_13_AFC_2,5,13,Fallacieux,oui,Comme,Decoulement
1,1,L1_13_AFC_3,4,13,Fallacieux,oui,Comme,AccordA
1,1,L1_13_AFC_4,6,13,Fallacieux,oui,Comme,AccordB
1,1,L1_14_AFS_1,4,14,Fallacieux,non,Comme,Proportion
1,1,L1_14_AFS_2,5,14,Fallacieux,non,Comme,Decoulement
1,1,L1_14_AFS_3,1,14,Fallacieux,non,Comme,AccordA
1,1,L1_14_AFS_4,4,14,Fallacieux,non,Comme,AccordB
1,1,L1_15_ANC_1,6,15,NonFallacieux,oui,Comme,Proportion
1,1,L1_15_ANC_2,6,15,NonFallacieux,oui,Comme,Decoulement
1,1,L1_15_ANC_3,4,15,NonFallacieux,oui,Comme,AccordA
1,1,L1_15_ANC_4,4,15,NonFallacieux,oui,Comme,AccordB
1,1,L1_16_ANS_1,5,16,NonFallacieux,non,Comme,Proportion
1,1,L1_16_ANS_2,4,16,NonFallacieux,non,Comme,Decoulement
1,1,L1_16_ANS_3,6,16,NonFallacieux,non,Comme,AccordA
1,1,L1_16_ANS_4,6,16,NonFallacieux,non,Comme,AccordB
1,1,L1_17_AFC_1,3,17,Fallacieux,oui,Comme,Proportion
1,1,L1_17_AFC_2,5,17,Fallacieux,oui,Comme,Decoulement
1,1,L1_17_AFC_3,2,17,Fallacieux,oui,Comme,AccordA
1,1,L1_17_AFC_4,5,17,Fallacieux,oui,Comme,AccordB
1,1,L1_18_AFS_1,3,18,Fallacieux,non,Comme,Proportion
1,1,L1_18_AFS_2,4,18,Fallacieux,non,Comme,Decoulement
1,1,L1_18_AFS_3,4,18,Fallacieux,non,Comme,AccordA
