ParticipantID,Valeur,Item,Condition,PresenceConnecteur,TypeQuestion
1,5,1,Fallacieux,oui,Proportion
1,5,1,Fallacieux,oui,Decoulement
1,5,1,Fallacieux,oui,AccordA
1,4,1,Fallacieux,oui,AccordB
1,2,2,Fallacieux,non,Proportion
1,4,2,Fallacieux,non,Decoulement
1,2,2,Fallacieux,non,AccordA
1,6,2,Fallacieux,non,AccordB
1,5,3,NonFallacieux,oui,Proportion
1,4,3,NonFallacieux,oui,Decoulement
1,4,3,NonFallacieux,oui,AccordA
1,3,3,NonFallacieux,oui,AccordB
1,6,4,NonFallacieux,non,Proportion
1,6,4,NonFallacieux,non,Decoulement
1,6,4,NonFallacieux,non,AccordA
1,6,4,NonFallacieux,non,AccordB
1,4,5,Fallacieux,oui,Proportion
1,5,5,Fallacieux,oui,Decoulement
1,4,5,Fallacieux,oui,AccordA
1,5,5,Fallacieux,oui,AccordB
1,3,6,Fallacieux,non,Proportion
1,4,6,Fallacieux,non,Decoulement
1,6,6,Fallacieux,non,AccordA
1,6,6,Fallacieux,non,AccordB
1,5,7,NonFallacieux,oui,Proportion
1,5,7,NonFallacieux,oui,Decoulement
1,5,7,NonFallacieux,oui,AccordA
1,3,7,NonFallacieux,oui,AccordB
1,6,8,NonFallacieux,non,Proportion
1,6,8,NonFallacieux,non,Decoulement
1,6,8,NonFallacieux,non,AccordA
1,6,8,NonFallacieux,non,AccordB
1,3,9,Fallacieux,oui,Proportion
1,5,9,Fallacieux,oui,Decoulement
1,4,9,Fallacieux,oui,AccordA
1,5,9,Fallacieux,oui,AccordB
1,5,10,Fallacieux,non,Proportion
1,4,10,Fallacieux,non,Decoulement
1,4,10,Fallacieux,non,AccordA
1,6,10,Fallacieux,non,AccordB
1,6,11,NonFallacieux,oui,Proportion
1,6,11,NonFallacieux,oui,Decoulement
1,1,11,NonFallacieux,oui,AccordA
1,3,11,NonFallacieux,oui,AccordB
1,3,12,NonFallacieux,non,Proportion
1,4,12,NonFallacieux,non,Decoulement
1,4,12,NonFallacieux,non,AccordA
1,6,12,NonFallacieux,non,AccordB
1,1,13,Fallacieux,oui,Proportion
1,5,13,Fallacieux,oui,Decoulement
1,4,13,Fallacieux,oui,AccordA
1,6,13,Fallacieux,oui,AccordB
1,4,14,Fallacieux,non,Proportion
1,5,14,Fallacieux,non,Decoulement
1,1,14,Fallacieux,non,AccordA
1,4,14,Fallacieux,non,AccordB
1,6,15,NonFallacieux,oui,Proportion
1,6,15,NonFallacieux,oui,Decoulement
1,4,15,NonFallacieux,oui,AccordA
1,4,15,NonFallacieux,oui,AccordB
1,5,16,NonFallacieux,non,Proportion
1,4,16,NonFallacieux,non,Decoulement
1,6,16,NonFallacieux,non,AccordA
1,6,16,NonFallacieux,non,AccordB
1,3,17,Fallacieux,oui,Proportion
1,5,17,Fallacieux,oui,Decoulement
1,2,17,Fallacieux,oui,AccordA
1,5,17,Fallacieux,oui,AccordB
1,3,18,Fallacieux,non,Proportion
1,4,18,Fallacieux,non,Decoulement
1,4,18,Fallacieux,non,AccordA
1,6,18,Fallacieux,non,AccordB
1,5,19,NonFallacieux,oui,Proportion
1,6,19,NonFallacieux,oui,Decoulement
1,5,19,NonFallacieux,oui,AccordA
1,6,19,NonFallacieux,oui,AccordB
1,3,20,NonFallacieux,non,Proportion
1,5,20,NonFallacieux,non,Decoulement
1,5,20,NonFallacieux,non,AccordA
1,4,20,NonFallacieux,non,AccordB
